Module type,Event type,Event ID,Message,Description,Solution,alert,syslog,mail,SNMP Trap
rc,Error,89,Failed to stop a single resource %1.,Single resource %1 failed to stop.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,90,All the servers in the cluster were shut down.,The cluster has been stopped.,-,1,1,,
rc,Info,91,The server was shut down.,The server has been stopped.,-,1,1,,
rc,Error,92,Group %1 has started on more than one server.,Group %1 has started on two or more servers.,"The server is automatically shut down. See &quot;<a class=""reference external"" href=""../L42_MG_EN/L_MG.html#recovery-from-network-partitioning"" title=""(in EXPRESSCLUSTERR X for Linux Maintenance Guide v4.2)""><span class=""xref std std-ref"">Recovery from network partitioning</span></a>&quot; in &quot;<a class=""reference external"" href=""../L42_MG_EN/L_MG.html#the-system-maintenance-information"" title=""(in EXPRESSCLUSTERR X for Linux Maintenance Guide v4.2)""><span class=""xref std std-ref"">The system maintenance information</span></a>&quot; in the &quot;<a class=""reference external"" href=""../L42_MG_EN/index.html#top"" title=""(in EXPRESSCLUSTERR X for Linux Maintenance Guide v4.2)""><span class=""xref std std-ref"">Maintenance Guide</span></a>&quot;.",1,1,1,1
rc,Warning,100,Restart count exceeded the maximum value %1. Final action of resource %2 will not be executed.,The restart count exceeded the maximum value %1. The final action of resource %2 is not executed.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,121,The CPU frequency has been set to high.,The CPU clock level has been set to its highest value.,-,1,1,,
rc,Info,122,The CPU frequency has been set to low.,The CPU clock level has been set to its lowest value.,-,1,1,,
rc,Info,124,CPU frequency setting has been switched to automatic control by cluster.,The CPU clock setting has been switched to automatic control by the cluster.,-,1,1,,
rc,Error,140,CPU frequency control cannot be used.,The CPU clock control function cannot be used.,Check the BIOS and kernel settings.,1,1,,
rc,Error,141,Failed to set the CPU frequency to high.,The CPU clock level could not be set to the highest value.,Check the BIOS and kernel settings.Check whether the EXPRESSCLUSTER daemon is started.Check whether the setting to use the CPU clock control function is specified.,1,1,,
rc,Error,142,Failed to set the CPU frequency to low.,The CPU clock level could not be set to the lowest value.,Same as above.,1,1,,
rc,Error,144,Failed to switch the CPU frequency setting to automatic control by cluster.,The CPU clock setting could not be switched to automatic control by the cluster.,Check whether the EXPRESSCLUSTER daemon is started.Check whether the setting to use the CPU clock control function is specified.,1,1,,
rc,Info,160,Script before final action upon %1 failure in resource %2 started.,The script (%1) before the final action at failure in resource (%2) has started.,-,1,1,,
rc,Info,161,Script before final action upon %1 failure in resource %2 completed.,The script (%1) before the final action at failure in resource (%2) has been completed.,-,1,1,,
rc,Info,162,Script %1 in resource %2 started,Script (%1) of resource (%2) has started.,-,1,1,,
rc,Info,163,Script %1 in resource %2 completed,Script (%1) of resource (%2) has been completed.,-,1,1,,
rc,Error,180,Script %1 before final action upon failure in resource %2 failed.,The script (%1) before the final action at failure in resource (%2) has failed.,Check the cause of the script failure and take appropriate action.,1,1,,
rc,Error,181,Failed to execute script %1 in resource %2.(%3),Script (%1) of resource (%2) has failed.,Same as above.,1,1,,
rc,Info,200,Resource(%1) will be reactivated since activating resource(%2) failed.,Resource %2 is reactivated since resource %1 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,201,Group(%1) will be moved to server(%2) since activating  resource(%3) failed.,Group %1 is moved to server %2 since resource %3 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,202,Group(%1) will be stopped since activating  resource(%2) failed.,Group %1 is stopped since resource %2 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,203,Cluster daemon will be stopped since activating  resource(%1) failed.,The cluster daemon is stopped since resource %1 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,204,System will be halted since activating resource(%1) failed.,The OS is shut down since resource %1 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,205,System will be rebooted since activating resource(%1) failed.,The OS is rebooted since resource %1 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,206,Activating group(%1) will be continued since failover process failed.,Activating group %1 is continued since the failover failed.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,220,Resource(%1) will be stopping again since stopping resource(%2) failed.,Deactivation of resource %1 is retried since resource %2 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,222,Group(%1) will be stopped since stopping resource(%2) failed.,Group %1 is stopped since resource %2 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,223,Cluster daemon will be stopped since stopping resource(%1) failed.,The cluster daemon is stopped since resource %1 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,224,System will be halted since stopping resource(%1) failed.,The OS is stopped since resource %1 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,225,System will be rebooted since stopping resource(%1) failed.,The OS is rebooted since resource %1 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,240,System panic by sysrq is requested since activating resource(%1) failed.,A system panic by sysrq is requested since resource %1 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,241,System reset by keepalive driver is requested since activating resource(%1) failed.,A system reset by the keepalive driver is requested since resource %1 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,242,System panic by keepalive driver is requested since activating resource(%1) failed.,A system panic by the keepalive driver is requested since resource %1 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,243,System reset by BMC is requested since activating resource(%1) failed.,A system reset by BMC is requested since resource %1 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,244,System power down by BMC is requested since activating resource(%1) failed.,System power down by BMC is requested since resource %1 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,245,System power cycle by BMC is requested since activating resource(%1) failed.,A system power cycle by BMC is requested since resource %1 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,246,NMI send by BMC is requested since activating resource(%1) failed.,NMI transmission by BMC is requested since resource %1 could not be activated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,247,IO Fencing by ACPI driver is requested since activating resource(%1) failed.,I/O fencing with the ACPI driver was requested due to an activation failure in resource %1.,Take appropriate action according to the group resource message.,1,1,,
rc,Error,260,An attempt to panic system by sysrq due to failure of resource(%1) activation failed.,An attempt was made to cause a system panic by sysrq due to an activation failure in resource %1. but failed.,Check whether the system is configured so that it can use sysrq.,1,1,,
rc,Error,261,An attempt to reset system by keepalive driver due to failure of resource(%1) activation failed.,An attempt was made to cause a system reset by the keepalive driver due to an activation failure in  resource %1. but failed.,Check whether the established environment supports the use of the keepalive driver.,1,1,,
rc,Error,262,An attempt to panic system by keepalive driver due to failure of resource(%1) activation failed.,An attempt was made to cause a system panic by the keepalive driver due to an activation failure in resource %1. but failed.,Check whether the established environment supports the use of the keepalive driver.,1,1,,
rc,Error,263,An attempt to reset system by BMC due to failure of resource(%1) activation failed.,An attempt was made to cause a system reset by BMC due to an activation failure in resource %1. but failed.,Check whether the ipmitoo command can be used.,1,1,,
rc,Error,264,An attempt to power down system by BMC due to failure of resource(%1) activation failed.,An attempt was made to cause  system power down by BMC due to an activation failure in resource %1. but failed.,Check whether the ipmitool command can be used.,1,1,,
rc,Error,265,An attempt to power cycle system by BMC due to failure of resource(%1) activation failed.,An attempt was made to cause system power cycle by BMC due to an activation failure in resource %1. but failed.,Check whether the ipmitool command can be used.,1,1,,
rc,Error,266,An attempt to send NMI by BMC due to failure of resource(%1) activation failed.,An attempt was made to perform NMI transmission by BMC due to an activation failure in resource %1. but failed.,Check whether the ipmitool command can be used.,1,1,,
rc,Error,267,An attempt to IO Fencing by ACPI driver due to failure of resource(%1) activation failed.,An attempt was made to perform I/O fencing by the ACPI driver due to an activation failure in resource %1. but failed.,Confirm whether the ACPI driver for EXPRESSCLUSTER linkage is available.,1,1,,
rc,Info,280,System panic by sysrq is requested since deactivating resource(%1) failed.,A system panic by sysrq is requested since resource %1 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,281,System reset by keepalive driver is requested since deactivating resource(%1) failed.,A system reset by the keepalive driver is requested since resource %1 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,282,System panic by keepalive driver is requested since deactivating resource(%1) failed.,A system panic by the keepalive driver is requested since resource %1 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,283,System reset by BMC is requested since deactivating resource(%1) failed.,A system reset by BMC is requested since resource %1 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,284,System power down by BMC is requested since deactivating resource(%1) failed.,System power down by BMC is requested since resource %1 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,285,System power cycle by BMC is requested since deactivating resource(%1) failed.,A system power cycle by BMC is requested since resource %1 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,286,Sending NMI by BMC is requested since deactivating resource(%1) failed.,NMI transmission by BMC is requested since resource %1 could not be deactivated.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,287,IO Fencing by ACPI driver is requested since deactivating resource(%1) failed.,I/O fencing is executed by using the ACPI driver due to an activation failure in resource %1.,-,1,1,,
rc,Error,300,An attempt to panic system by sysrq due to failure of resource(%1) deactivation failed.,An attempt was made to cause a system panic by sysrq due to a deactivation failure in resource %1. but failed.,Check whether the system is configured so that it can use sysrq.,1,1,,
